;Seq_4;Seq_3;Seq_2;Seq_1;Seq_0;diff;fact_count;pre_count;prob
0;4;5;3;1;1;0;1;2;0.50
1;4;5;3;1;5;4;1;2;0.50
2;9;5;4;1;1;0;1;1;1.00
3;3;7;4;1;1;0;1;5;0.20
4;3;7;4;1;5;4;2;5;0.40
5;3;7;4;1;6;5;1;5;0.20
6;3;7;4;1;8;7;1;5;0.20
7;7;8;5;1;1;0;1;4;0.25
8;7;8;5;1;6;5;1;4;0.25
9;7;8;5;1;7;6;1;4;0.25
10;7;8;5;1;8;7;1;4;0.25
11;6;5;6;1;1;0;1;8;0.12
12;6;5;6;1;4;3;1;8;0.12
13;6;5;6;1;5;4;2;8;0.25
14;6;5;6;1;6;5;2;8;0.25
15;6;5;6;1;7;6;2;8;0.25
16;6;6;6;1;1;0;1;11;0.09
17;6;6;6;1;2;1;1;11;0.09
18;6;6;6;1;4;3;2;11;0.18
19;6;6;6;1;5;4;3;11;0.27
20;6;6;6;1;6;5;1;11;0.09
21;6;6;6;1;8;7;3;11;0.27
22;6;8;7;1;1;0;1;1;1.00
23;7;6;10;1;1;0;1;1;1.00
24;6;5;2;2;1;-1;1;6;0.17
25;6;5;2;2;3;1;1;6;0.17
26;6;5;2;2;5;3;1;6;0.17
27;6;5;2;2;8;6;3;6;0.50
28;5;7;2;2;1;-1;1;3;0.33
29;5;7;2;2;7;5;2;3;0.67
30;6;8;2;2;1;-1;1;3;0.33
31;6;8;2;2;5;3;1;3;0.33
32;6;8;2;2;8;6;1;3;0.33
33;7;8;2;2;1;-1;1;1;1.00
34;3;4;3;2;1;-1;1;2;0.50
35;3;4;3;2;5;3;1;2;0.50
36;4;4;3;2;1;-1;1;2;0.50
37;4;4;3;2;7;5;1;2;0.50
38;6;5;3;2;1;-1;1;11;0.09
39;6;5;3;2;3;1;2;11;0.18
40;6;5;3;2;5;3;2;11;0.18
41;6;5;3;2;6;4;1;11;0.09
42;6;5;3;2;7;5;1;11;0.09
43;6;5;3;2;8;6;2;11;0.18
44;6;5;3;2;9;7;1;11;0.09
45;6;5;3;2;10;8;1;11;0.09
46;7;9;3;2;1;-1;1;4;0.25
47;7;9;3;2;2;0;1;4;0.25
48;7;9;3;2;4;2;1;4;0.25
49;7;9;3;2;6;4;1;4;0.25
50;3;2;4;2;1;-1;1;1;1.00
51;7;3;4;2;1;-1;1;4;0.25
52;7;3;4;2;5;3;1;4;0.25
53;7;3;4;2;6;4;1;4;0.25
54;7;3;4;2;7;5;1;4;0.25
55;9;3;4;2;1;-1;1;1;1.00
56;6;4;4;2;1;-1;1;9;0.11
57;6;4;4;2;2;0;1;9;0.11
58;6;4;4;2;3;1;1;9;0.11
59;6;4;4;2;5;3;2;9;0.22
60;6;4;4;2;7;5;3;9;0.33
61;6;4;4;2;8;6;1;9;0.11
62;10;4;4;2;1;-1;1;1;1.00
63;4;5;4;2;1;-1;1;8;0.12
64;4;5;4;2;4;2;1;8;0.12
65;4;5;4;2;5;3;2;8;0.25
66;4;5;4;2;6;4;2;8;0.25
67;4;5;4;2;8;6;2;8;0.25
68;6;5;4;2;1;-1;1;20;0.05
69;6;5;4;2;3;1;1;20;0.05
70;6;5;4;2;4;2;2;20;0.10
71;6;5;4;2;5;3;5;20;0.25
72;6;5;4;2;6;4;1;20;0.05
73;6;5;4;2;7;5;5;20;0.25
74;6;5;4;2;8;6;3;20;0.15
75;6;5;4;2;9;7;1;20;0.05
76;6;5;4;2;10;8;1;20;0.05
77;4;7;4;2;1;-1;1;8;0.12
78;4;7;4;2;3;1;1;8;0.12
79;4;7;4;2;4;2;3;8;0.38
80;4;7;4;2;7;5;2;8;0.25
81;4;7;4;2;8;6;1;8;0.12
82;6;7;4;2;1;-1;1;8;0.12
83;6;7;4;2;4;2;2;8;0.25
84;6;7;4;2;5;3;2;8;0.25
85;6;7;4;2;6;4;1;8;0.12
86;6;7;4;2;7;5;1;8;0.12
87;6;7;4;2;9;7;1;8;0.12
88;8;7;4;2;1;-1;1;7;0.14
89;8;7;4;2;5;3;1;7;0.14
90;8;7;4;2;6;4;2;7;0.29
91;8;7;4;2;7;5;2;7;0.29
92;8;7;4;2;8;6;1;7;0.14
93;5;9;4;2;1;-1;2;4;0.50
94;5;9;4;2;7;5;1;4;0.25
95;5;9;4;2;8;6;1;4;0.25
96;7;2;5;2;1;-1;1;2;0.50
97;7;2;5;2;5;3;1;2;0.50
98;7;4;5;2;1;-1;1;4;0.25
99;7;4;5;2;4;2;2;4;0.50
100;7;4;5;2;6;4;1;4;0.25
101;4;5;5;2;1;-1;1;20;0.05
102;4;5;5;2;2;0;4;20;0.20
103;4;5;5;2;3;1;2;20;0.10
104;4;5;5;2;4;2;1;20;0.05
105;4;5;5;2;5;3;1;20;0.05
106;4;5;5;2;6;4;4;20;0.20
107;4;5;5;2;7;5;2;20;0.10
108;4;5;5;2;8;6;4;20;0.20
