,Seq_2,Seq_1,Seq_0,count,prob
0,4,4,1,1,0.000433
1,6,5,1,1,0.000433
2,7,6,1,1,0.000433
3,5,8,1,1,0.000433
4,8,9,1,1,0.000433
5,9,9,1,1,0.000433
6,5,3,2,1,0.000433
7,5,4,2,1,0.000433
8,6,4,2,1,0.000433
9,7,4,2,2,0.000867
10,5,5,2,2,0.000867
11,6,5,2,2,0.000867
12,7,5,2,1,0.000433
13,9,5,2,1,0.000433
14,10,5,2,1,0.000433
15,11,5,2,1,0.000433
16,4,6,2,1,0.000433
17,5,6,2,1,0.000433
18,6,6,2,1,0.000433
19,8,6,2,2,0.000867
20,6,7,2,1,0.000433
21,5,8,2,1,0.000433
22,6,8,2,1,0.000433
23,7,8,2,2,0.000867
24,9,8,2,1,0.000433
25,4,9,2,1,0.000433
26,6,9,2,1,0.000433
27,7,9,2,2,0.000867
28,8,9,2,1,0.000433
29,2,10,2,1,0.000433
30,5,1,3,1,0.000433
31,4,2,3,1,0.000433
32,5,2,3,1,0.000433
33,4,3,3,1,0.000433
34,7,3,3,1,0.000433
35,9,3,3,1,0.000433
36,10,3,3,2,0.000867
37,3,4,3,1,0.000433
38,4,4,3,2,0.000867
39,6,4,3,2,0.000867
40,7,4,3,4,0.001733
41,8,4,3,4,0.001733
42,11,4,3,1,0.000433
43,4,5,3,1,0.000433
44,5,5,3,1,0.000433
45,7,5,3,1,0.000433
46,8,5,3,2,0.000867
47,9,5,3,2,0.000867
48,2,6,3,1,0.000433
49,3,6,3,1,0.000433
50,4,6,3,3,0.001300
51,5,6,3,2,0.000867
52,6,6,3,5,0.002166
53,7,6,3,3,0.001300
54,8,6,3,1,0.000433
55,9,6,3,1,0.000433
56,4,7,3,1,0.000433
57,5,7,3,2,0.000867
58,6,7,3,3,0.001300
59,7,7,3,4,0.001733
60,8,7,3,3,0.001300
61,9,7,3,3,0.001300
62,11,7,3,1,0.000433
63,4,8,3,1,0.000433
64,5,8,3,2,0.000867
65,6,8,3,3,0.001300
66,7,8,3,2,0.000867
67,8,8,3,3,0.001300
68,5,9,3,3,0.001300
69,6,9,3,3,0.001300
70,7,9,3,2,0.000867
71,10,9,3,2,0.000867
72,11,9,3,1,0.000433
73,2,10,3,1,0.000433
74,7,10,3,4,0.001733
75,5,2,4,2,0.000867
76,8,2,4,1,0.000433
77,9,2,4,1,0.000433
78,4,3,4,1,0.000433
79,5,3,4,1,0.000433
80,6,3,4,2,0.000867
81,7,3,4,1,0.000433
82,8,3,4,3,0.001300
83,9,3,4,2,0.000867
84,10,3,4,2,0.000867
85,3,4,4,3,0.001300
86,5,4,4,2,0.000867
87,6,4,4,6,0.002600
88,7,4,4,2,0.000867
89,8,4,4,6,0.002600
90,9,4,4,2,0.000867
91,3,5,4,1,0.000433
92,4,5,4,3,0.001300
93,5,5,4,1,0.000433
94,6,5,4,7,0.003033
95,7,5,4,7,0.003033
96,8,5,4,2,0.000867
97,9,5,4,6,0.002600
98,4,6,4,5,0.002166
99,5,6,4,2,0.000867
100,6,6,4,7,0.003033
101,7,6,4,5,0.002166
102,8,6,4,10,0.004333
103,9,6,4,8,0.003466
104,10,6,4,3,0.001300
105,3,7,4,1,0.000433
106,4,7,4,6,0.002600
107,5,7,4,9,0.003899
108,6,7,4,8,0.003466
109,7,7,4,10,0.004333
110,8,7,4,3,0.001300
111,9,7,4,5,0.002166
112,10,7,4,1,0.000433
113,11,7,4,2,0.000867
114,2,8,4,2,0.000867
115,3,8,4,3,0.001300
116,4,8,4,4,0.001733
117,5,8,4,6,0.002600
118,6,8,4,9,0.003899
119,7,8,4,10,0.004333
120,8,8,4,7,0.003033
121,9,8,4,5,0.002166
122,10,8,4,3,0.001300
123,3,9,4,3,0.001300
124,4,9,4,2,0.000867
125,5,9,4,9,0.003899
126,6,9,4,3,0.001300
127,7,9,4,3,0.001300
128,8,9,4,9,0.003899
129,9,9,4,1,0.000433
130,10,9,4,1,0.000433
131,6,10,4,1,0.000433
132,7,10,4,1,0.000433
133,8,10,4,1,0.000433
134,9,10,4,2,0.000867
135,10,10,4,1,0.000433
136,5,11,4,1,0.000433
137,7,11,4,1,0.000433
138,8,11,4,2,0.000867
139,10,11,4,1,0.000433
140,6,1,5,1,0.000433
141,4,2,5,1,0.000433
142,5,2,5,1,0.000433
143,6,2,5,2,0.000867
144,2,3,5,1,0.000433
145,3,3,5,3,0.001300
146,4,3,5,4,0.001733
147,5,3,5,2,0.000867
148,6,3,5,2,0.000867
149,7,3,5,2,0.000867
150,8,3,5,1,0.000433
151,9,3,5,4,0.001733
152,10,3,5,1,0.000433
153,3,4,5,2,0.000867
154,5,4,5,3,0.001300
155,6,4,5,4,0.001733
156,7,4,5,10,0.004333
157,8,4,5,9,0.003899
158,9,4,5,1,0.000433
159,10,4,5,1,0.000433
160,11,4,5,1,0.000433
161,3,5,5,4,0.001733
162,4,5,5,2,0.000867
163,5,5,5,8,0.003466
164,6,5,5,11,0.004766
165,7,5,5,10,0.004333
166,8,5,5,5,0.002166
167,9,5,5,3,0.001300
168,10,5,5,1,0.000433
169,11,5,5,2,0.000867
170,2,6,5,1,0.000433
171,4,6,5,9,0.003899
172,5,6,5,5,0.002166
173,6,6,5,12,0.005199
174,7,6,5,9,0.003899
175,8,6,5,17,0.007366
176,9,6,5,2,0.000867
177,10,6,5,2,0.000867
178,11,6,5,2,0.000867
179,3,7,5,5,0.002166
180,4,7,5,7,0.003033
181,5,7,5,15,0.006499
182,6,7,5,15,0.006499
183,7,7,5,12,0.005199
184,8,7,5,13,0.005633
185,9,7,5,4,0.001733
186,10,7,5,5,0.002166
187,3,8,5,2,0.000867
188,4,8,5,6,0.002600
189,5,8,5,12,0.005199
190,6,8,5,7,0.003033
191,7,8,5,8,0.003466
192,8,8,5,6,0.002600
193,9,8,5,4,0.001733
194,2,9,5,1,0.000433
195,3,9,5,1,0.000433
196,4,9,5,6,0.002600
197,5,9,5,3,0.001300
198,6,9,5,2,0.000867
199,7,9,5,10,0.004333
200,8,9,5,6,0.002600
201,9,9,5,3,0.001300
202,10,9,5,2,0.000867
203,11,9,5,1,0.000433
204,5,10,5,3,0.001300
205,6,10,5,3,0.001300
206,7,10,5,4,0.001733
207,8,10,5,4,0.001733
208,5,11,5,1,0.000433
209,6,11,5,4,0.001733
210,7,11,5,1,0.000433
211,8,11,5,1,0.000433
212,6,12,5,1,0.000433
213,4,1,6,1,0.000433
214,4,2,6,1,0.000433
215,5,2,6,2,0.000867
216,9,2,6,2,0.000867
217,10,2,6,1,0.000433
218,4,3,6,5,0.002166
219,5,3,6,1,0.000433
220,6,3,6,1,0.000433
221,7,3,6,1,0.000433
222,8,3,6,1,0.000433
223,2,4,6,1,0.000433
224,3,4,6,1,0.000433
225,4,4,6,6,0.002600
226,5,4,6,7,0.003033
227,6,4,6,11,0.004766
228,7,4,6,9,0.003899
229,8,4,6,9,0.003899
230,9,4,6,5,0.002166
231,10,4,6,1,0.000433
232,2,5,6,1,0.000433
233,3,5,6,2,0.000867
234,4,5,6,3,0.001300
235,5,5,6,7,0.003033
236,6,5,6,11,0.004766
237,7,5,6,18,0.007799
238,8,5,6,7,0.003033
239,9,5,6,4,0.001733
240,10,5,6,4,0.001733
241,12,5,6,1,0.000433
242,1,6,6,1,0.000433
243,2,6,6,1,0.000433
244,3,6,6,1,0.000433
245,4,6,6,7,0.003033
246,5,6,6,11,0.004766
247,6,6,6,20,0.008666
248,7,6,6,17,0.007366
249,8,6,6,15,0.006499
250,9,6,6,8,0.003466
251,10,6,6,3,0.001300
252,11,6,6,7,0.003033
253,12,6,6,1,0.000433
254,1,7,6,1,0.000433
255,2,7,6,1,0.000433
256,3,7,6,3,0.001300
257,4,7,6,8,0.003466
258,5,7,6,14,0.006066
259,6,7,6,17,0.007366
260,7,7,6,16,0.006932
261,8,7,6,13,0.005633
262,9,7,6,3,0.001300
263,10,7,6,5,0.002166
264,11,7,6,1,0.000433
265,12,7,6,1,0.000433
266,3,8,6,2,0.000867
267,4,8,6,8,0.003466
268,5,8,6,11,0.004766
269,6,8,6,16,0.006932
270,7,8,6,20,0.008666
271,8,8,6,8,0.003466
272,9,8,6,6,0.002600
273,10,8,6,4,0.001733
274,11,8,6,2,0.000867
275,3,9,6,1,0.000433
276,4,9,6,4,0.001733
277,5,9,6,3,0.001300
278,6,9,6,14,0.006066
279,7,9,6,7,0.003033
280,8,9,6,6,0.002600
281,9,9,6,7,0.003033
282,11,9,6,2,0.000867
283,3,10,6,2,0.000867
284,4,10,6,2,0.000867
285,5,10,6,1,0.000433
286,6,10,6,8,0.003466
287,7,10,6,4,0.001733
288,8,10,6,1,0.000433
289,9,10,6,3,0.001300
290,2,11,6,1,0.000433
291,5,11,6,2,0.000867
292,6,11,6,2,0.000867
293,7,11,6,3,0.001300
294,8,11,6,2,0.000867
295,6,12,6,1,0.000433
296,9,1,7,2,0.000867
297,6,2,7,1,0.000433
298,8,2,7,1,0.000433
299,1,3,7,1,0.000433
300,2,3,7,1,0.000433
301,4,3,7,1,0.000433
302,5,3,7,1,0.000433
303,6,3,7,7,0.003033
304,7,3,7,8,0.003466
305,9,3,7,2,0.000867
306,2,4,7,2,0.000867
307,4,4,7,7,0.003033
308,5,4,7,5,0.002166
309,6,4,7,8,0.003466
310,7,4,7,5,0.002166
311,8,4,7,7,0.003033
312,9,4,7,5,0.002166
313,10,4,7,1,0.000433
314,11,4,7,1,0.000433
315,2,5,7,2,0.000867
316,3,5,7,6,0.002600
317,4,5,7,6,0.002600
318,5,5,7,9,0.003899
319,6,5,7,11,0.004766
320,7,5,7,20,0.008666
321,8,5,7,14,0.006066
322,9,5,7,9,0.003899
323,10,5,7,3,0.001300
324,11,5,7,4,0.001733
325,3,6,7,4,0.001733
326,4,6,7,10,0.004333
327,5,6,7,19,0.008232
328,6,6,7,17,0.007366
329,7,6,7,13,0.005633
330,8,6,7,13,0.005633
331,9,6,7,10,0.004333
332,10,6,7,4,0.001733
333,11,6,7,1,0.000433
334,2,7,7,1,0.000433
335,3,7,7,4,0.001733
336,4,7,7,11,0.004766
337,5,7,7,20,0.008666
338,6,7,7,17,0.007366
339,7,7,7,19,0.008232
340,8,7,7,8,0.003466
341,9,7,7,5,0.002166
342,10,7,7,3,0.001300
343,2,8,7,1,0.000433
344,3,8,7,3,0.001300
345,4,8,7,11,0.004766
346,5,8,7,12,0.005199
347,6,8,7,16,0.006932
348,7,8,7,9,0.003899
349,8,8,7,8,0.003466
350,9,8,7,3,0.001300
351,11,8,7,1,0.000433
352,12,8,7,1,0.000433
353,3,9,7,1,0.000433
354,4,9,7,4,0.001733
355,5,9,7,5,0.002166
356,6,9,7,7,0.003033
357,7,9,7,3,0.001300
358,8,9,7,4,0.001733
359,9,9,7,2,0.000867
360,11,9,7,1,0.000433
361,3,10,7,1,0.000433
362,4,10,7,3,0.001300
363,5,10,7,4,0.001733
364,6,10,7,4,0.001733
365,7,10,7,1,0.000433
366,8,10,7,2,0.000867
367,9,10,7,1,0.000433
368,10,10,7,3,0.001300
369,2,11,7,1,0.000433
370,4,11,7,1,0.000433
371,5,11,7,1,0.000433
372,7,11,7,2,0.000867
373,6,12,7,1,0.000433
374,8,12,7,1,0.000433
375,8,1,8,1,0.000433
376,3,2,8,1,0.000433
377,4,2,8,1,0.000433
378,5,2,8,1,0.000433
379,6,2,8,1,0.000433
380,8,2,8,2,0.000867
381,3,3,8,1,0.000433
382,4,3,8,1,0.000433
383,6,3,8,3,0.001300
384,7,3,8,3,0.001300
385,8,3,8,4,0.001733
386,9,3,8,1,0.000433
387,3,4,8,3,0.001300
388,4,4,8,4,0.001733
389,5,4,8,4,0.001733
390,6,4,8,5,0.002166
391,7,4,8,8,0.003466
392,8,4,8,7,0.003033
393,9,4,8,8,0.003466
394,11,4,8,1,0.000433
395,1,5,8,1,0.000433
396,2,5,8,1,0.000433
397,3,5,8,3,0.001300
398,4,5,8,8,0.003466
399,5,5,8,11,0.004766
400,6,5,8,8,0.003466
401,7,5,8,12,0.005199
402,8,5,8,6,0.002600
403,9,5,8,7,0.003033
404,10,5,8,3,0.001300
405,2,6,8,2,0.000867
406,3,6,8,1,0.000433
407,4,6,8,8,0.003466
408,5,6,8,10,0.004333
409,6,6,8,16,0.006932
410,7,6,8,19,0.008232
411,8,6,8,10,0.004333
412,9,6,8,6,0.002600
413,10,6,8,4,0.001733
414,1,7,8,1,0.000433
415,3,7,8,5,0.002166
416,4,7,8,4,0.001733
417,5,7,8,8,0.003466
418,6,7,8,18,0.007799
419,7,7,8,14,0.006066
420,8,7,8,14,0.006066
421,9,7,8,2,0.000867
422,10,7,8,3,0.001300
423,11,7,8,1,0.000433
424,12,7,8,1,0.000433
425,1,8,8,1,0.000433
426,2,8,8,1,0.000433
427,3,8,8,1,0.000433
428,4,8,8,3,0.001300
429,5,8,8,5,0.002166
430,6,8,8,13,0.005633
431,7,8,8,13,0.005633
432,8,8,8,12,0.005199
433,9,8,8,3,0.001300
434,10,8,8,1,0.000433
435,11,8,8,1,0.000433
436,2,9,8,1,0.000433
437,3,9,8,1,0.000433
438,4,9,8,3,0.001300
439,5,9,8,3,0.001300
440,6,9,8,7,0.003033
441,7,9,8,5,0.002166
442,8,9,8,4,0.001733
443,9,9,8,3,0.001300
444,10,9,8,1,0.000433
445,4,10,8,1,0.000433
446,5,10,8,2,0.000867
447,6,10,8,2,0.000867
448,7,10,8,2,0.000867
449,8,10,8,2,0.000867
450,9,10,8,1,0.000433
451,4,11,8,2,0.000867
452,6,11,8,1,0.000433
453,9,11,8,1,0.000433
454,7,12,8,1,0.000433
455,7,2,9,1,0.000433
456,9,2,9,1,0.000433
457,3,3,9,1,0.000433
458,4,3,9,2,0.000867
459,6,3,9,1,0.000433
460,7,3,9,1,0.000433
461,8,3,9,1,0.000433
462,9,3,9,1,0.000433
463,2,4,9,1,0.000433
464,3,4,9,1,0.000433
465,4,4,9,1,0.000433
466,5,4,9,3,0.001300
467,6,4,9,2,0.000867
468,7,4,9,4,0.001733
469,8,4,9,5,0.002166
470,9,4,9,5,0.002166
471,10,4,9,3,0.001300
472,11,4,9,1,0.000433
473,3,5,9,4,0.001733
474,4,5,9,5,0.002166
475,5,5,9,3,0.001300
476,6,5,9,5,0.002166
477,7,5,9,4,0.001733
478,8,5,9,6,0.002600
479,9,5,9,1,0.000433
480,10,5,9,1,0.000433
481,2,6,9,1,0.000433
482,4,6,9,6,0.002600
483,5,6,9,6,0.002600
484,6,6,9,5,0.002166
485,7,6,9,10,0.004333
486,8,6,9,5,0.002166
487,9,6,9,5,0.002166
488,10,6,9,3,0.001300
489,3,7,9,2,0.000867
490,4,7,9,2,0.000867
491,5,7,9,9,0.003899
492,6,7,9,6,0.002600
493,7,7,9,10,0.004333
494,8,7,9,6,0.002600
495,9,7,9,4,0.001733
496,2,8,9,2,0.000867
497,3,8,9,2,0.000867
498,4,8,9,3,0.001300
499,5,8,9,9,0.003899
500,6,8,9,8,0.003466
501,7,8,9,4,0.001733
502,8,8,9,5,0.002166
503,9,8,9,3,0.001300
504,10,8,9,1,0.000433
505,4,9,9,3,0.001300
506,5,9,9,2,0.000867
507,6,9,9,2,0.000867
508,7,9,9,4,0.001733
509,8,9,9,5,0.002166
510,10,9,9,1,0.000433
511,5,10,9,2,0.000867
512,6,10,9,1,0.000433
513,7,10,9,1,0.000433
514,8,10,9,2,0.000867
515,9,10,9,1,0.000433
516,4,11,9,1,0.000433
517,6,11,9,1,0.000433
518,7,11,9,1,0.000433
519,8,11,9,2,0.000867
520,5,2,10,1,0.000433
521,6,2,10,1,0.000433
522,5,3,10,1,0.000433
523,6,3,10,1,0.000433
524,8,3,10,1,0.000433
525,3,4,10,1,0.000433
526,5,4,10,1,0.000433
527,6,4,10,1,0.000433
528,7,4,10,1,0.000433
529,8,4,10,1,0.000433
530,9,4,10,3,0.001300
531,4,5,10,2,0.000867
532,5,5,10,1,0.000433
533,6,5,10,3,0.001300
534,7,5,10,2,0.000867
535,8,5,10,3,0.001300
536,9,5,10,2,0.000867
537,3,6,10,2,0.000867
538,4,6,10,1,0.000433
539,5,6,10,1,0.000433
540,6,6,10,7,0.003033
541,7,6,10,2,0.000867
542,8,6,10,3,0.001300
543,9,6,10,2,0.000867
544,10,6,10,1,0.000433
545,3,7,10,1,0.000433
546,4,7,10,1,0.000433
547,5,7,10,5,0.002166
548,6,7,10,5,0.002166
549,7,7,10,2,0.000867
550,8,7,10,3,0.001300
551,10,7,10,1,0.000433
552,4,8,10,2,0.000867
553,5,8,10,1,0.000433
554,6,8,10,1,0.000433
555,7,8,10,2,0.000867
556,8,8,10,4,0.001733
557,9,8,10,1,0.000433
558,10,8,10,1,0.000433
559,4,9,10,3,0.001300
560,5,9,10,1,0.000433
561,6,9,10,2,0.000867
562,7,9,10,2,0.000867
563,8,9,10,1,0.000433
564,4,10,10,2,0.000867
565,5,10,10,1,0.000433
566,7,10,10,1,0.000433
567,9,10,10,1,0.000433
568,8,2,11,1,0.000433
569,9,2,11,1,0.000433
570,5,4,11,1,0.000433
571,8,4,11,1,0.000433
572,9,4,11,2,0.000867
573,4,5,11,1,0.000433
574,5,5,11,2,0.000867
575,7,5,11,1,0.000433
576,10,5,11,1,0.000433
577,5,6,11,1,0.000433
578,6,6,11,2,0.000867
579,7,6,11,4,0.001733
580,8,6,11,1,0.000433
581,4,7,11,1,0.000433
582,5,7,11,2,0.000867
583,7,7,11,1,0.000433
584,8,7,11,2,0.000867
585,9,7,11,1,0.000433
586,10,7,11,1,0.000433
587,4,8,11,1,0.000433
588,6,8,11,2,0.000867
589,7,8,11,1,0.000433
590,8,8,11,1,0.000433
591,9,8,11,2,0.000867
592,7,9,11,1,0.000433
593,10,10,11,1,0.000433
594,9,6,12,2,0.000867
595,10,6,12,1,0.000433
596,6,7,12,1,0.000433
597,4,8,12,1,0.000433
598,0,4,1,1,0.000433
599,0,5,1,1,0.000433
600,0,6,1,1,0.000433
601,0,8,1,1,0.000433
602,0,9,1,2,0.000866
603,0,3,2,1,0.000433
