;Seq_4;Seq_3;Seq_2;Seq_1;Seq_0;diff;fact_count;pre_count;prob
0;6;7;3;4;1;-3;1;2;0.50
1;6;7;3;4;6;2;1;2;0.50
2;5;5;5;4;1;-3;1;4;0.25
3;5;5;5;4;6;2;2;4;0.50
4;5;5;5;4;8;4;1;4;0.25
5;4;4;6;5;1;-4;1;5;0.20
6;4;4;6;5;5;0;1;5;0.20
7;4;4;6;5;6;1;3;5;0.60
8;6;4;6;6;1;-5;1;9;0.11
9;6;4;6;6;4;-2;2;9;0.22
10;6;4;6;6;5;-1;3;9;0.33
11;6;4;6;6;8;2;1;9;0.11
12;6;4;6;6;9;3;1;9;0.11
13;6;4;6;6;10;4;1;9;0.11
14;5;6;4;7;1;-6;1;5;0.20
15;5;6;4;7;4;-3;2;5;0.40
16;5;6;4;7;7;0;2;5;0.40
17;3;5;6;7;1;-6;1;6;0.17
18;3;5;6;7;3;-4;1;6;0.17
19;3;5;6;7;5;-2;2;6;0.33
20;3;5;6;7;7;0;1;6;0.17
21;3;5;6;7;9;2;1;6;0.17
22;4;6;7;7;1;-6;1;3;0.33
23;4;6;7;7;4;-3;1;3;0.33
24;4;6;7;7;5;-2;1;3;0.33
25;5;4;7;8;1;-7;1;2;0.50
26;5;4;7;8;5;-3;1;2;0.50
27;5;4;4;2;2;0;1;1;1.00
28;6;4;6;3;2;-1;1;2;0.50
29;6;4;6;3;4;1;1;2;0.50
30;5;7;6;3;2;-1;1;2;0.50
31;5;7;6;3;7;4;1;2;0.50
32;5;2;8;3;2;-1;1;1;1.00
33;8;8;9;3;2;-1;1;1;1.00
34;7;6;3;4;2;-2;1;1;1.00
35;6;5;4;4;2;-2;1;2;0.50
36;6;5;4;4;9;5;1;2;0.50
37;4;6;4;4;2;-2;1;3;0.33
38;4;6;4;4;4;0;2;3;0.67
39;5;6;4;4;2;-2;1;5;0.20
40;5;6;4;4;3;-1;1;5;0.20
41;5;6;4;4;5;1;1;5;0.20
42;5;6;4;4;7;3;1;5;0.20
43;5;6;4;4;8;4;1;5;0.20
44;7;8;4;4;2;-2;1;2;0.50
45;7;8;4;4;8;4;1;2;0.50
46;5;6;5;4;2;-2;1;7;0.14
47;5;6;5;4;4;0;2;7;0.29
48;5;6;5;4;5;1;1;7;0.14
49;5;6;5;4;6;2;1;7;0.14
50;5;6;5;4;7;3;2;7;0.29
51;7;8;5;4;2;-2;1;1;1.00
52;3;7;7;4;2;-2;1;2;0.50
53;3;7;7;4;6;2;1;2;0.50
54;5;5;8;4;2;-2;1;3;0.33
55;5;5;8;4;6;2;1;3;0.33
56;5;5;8;4;9;5;1;3;0.33
57;4;5;9;4;2;-2;1;1;1.00
58;6;6;3;5;2;-3;1;1;1.00
59;6;7;3;5;2;-3;1;3;0.33
60;6;7;3;5;5;0;1;3;0.33
61;6;7;3;5;6;1;1;3;0.33
62;6;5;4;5;2;-3;1;5;0.20
63;6;5;4;5;4;-1;1;5;0.20
64;6;5;4;5;6;1;2;5;0.40
65;6;5;4;5;8;3;1;5;0.20
66;5;4;5;5;2;-3;1;4;0.25
67;5;4;5;5;5;0;1;4;0.25
68;5;4;5;5;6;1;1;4;0.25
69;5;4;5;5;7;2;1;4;0.25
70;6;5;5;5;2;-3;1;5;0.20
71;6;5;5;5;4;-1;2;5;0.40
72;6;5;5;5;5;0;1;5;0.20
73;6;5;5;5;6;1;1;5;0.20
74;4;6;5;5;2;-3;1;4;0.25
75;4;6;5;5;3;-2;1;4;0.25
76;4;6;5;5;6;1;1;4;0.25
77;4;6;5;5;7;2;1;4;0.25
78;6;6;5;5;2;-3;1;13;0.08
79;6;6;5;5;3;-2;1;13;0.08
80;6;6;5;5;4;-1;2;13;0.15
81;6;6;5;5;5;0;3;13;0.23
82;6;6;5;5;6;1;4;13;0.31
83;6;6;5;5;8;3;2;13;0.15
84;4;7;5;5;2;-3;1;3;0.33
85;4;7;5;5;7;2;1;3;0.33
86;4;7;5;5;8;3;1;3;0.33
87;3;4;6;5;2;-3;1;2;0.50
88;3;4;6;5;6;1;1;2;0.50
89;7;4;6;5;2;-3;1;6;0.17
90;7;4;6;5;3;-2;1;6;0.17
91;7;4;6;5;4;-1;1;6;0.17
92;7;4;6;5;5;0;1;6;0.17
93;7;4;6;5;6;1;1;6;0.17
94;7;4;6;5;8;3;1;6;0.17
95;6;5;6;5;2;-3;1;7;0.14
96;6;5;6;5;4;-1;2;7;0.29
97;6;5;6;5;5;0;1;7;0.14
98;6;5;6;5;6;1;2;7;0.29
99;6;5;6;5;7;2;1;7;0.14
100;8;6;7;5;2;-3;1;3;0.33
101;8;6;7;5;5;0;1;3;0.33
102;8;6;7;5;8;3;1;3;0.33
103;5;4;3;6;2;-4;1;1;1.00
104;7;3;4;6;2;-4;1;3;0.33
105;7;3;4;6;3;-3;1;3;0.33
106;7;3;4;6;6;0;1;3;0.33
107;6;9;4;6;2;-4;1;1;1.00
108;5;4;5;6;2;-4;1;4;0.25
109;5;4;5;6;6;0;1;4;0.25
110;5;4;5;6;7;1;1;4;0.25
111;5;4;5;6;8;2;1;4;0.25
112;4;3;6;6;2;-4;1;1;1.00
113;6;6;6;6;2;-4;1;9;0.11
114;6;6;6;6;3;-3;2;9;0.22
115;6;6;6;6;5;-1;2;9;0.22
116;6;6;6;6;6;0;2;9;0.22
117;6;6;6;6;7;1;2;9;0.22
118;7;6;6;6;2;-4;1;3;0.33
119;7;6;6;6;6;0;2;3;0.67
120;5;7;7;6;2;-4;1;6;0.17
121;5;7;7;6;5;-1;1;6;0.17
122;5;7;7;6;6;0;1;6;0.17
123;5;7;7;6;7;1;2;6;0.33
124;5;7;7;6;8;2;1;6;0.17
125;6;6;4;7;2;-5;1;4;0.25
126;6;6;4;7;5;-2;2;4;0.50
127;6;6;4;7;6;-1;1;4;0.25
128;9;7;4;7;2;-5;1;1;1.00
129;6;6;5;7;2;-5;1;4;0.25
130;6;6;5;7;5;-2;1;4;0.25
131;6;6;5;7;6;-1;1;4;0.25
132;6;6;5;7;7;0;1;4;0.25
133;5;7;5;7;2;-5;1;5;0.20
134;5;7;5;7;5;-2;3;5;0.60
135;5;7;5;7;7;0;1;5;0.20
136;6;7;5;7;2;-5;1;2;0.50
137;6;7;5;7;4;-3;1;2;0.50
138;8;7;6;7;2;-5;1;1;1.00
139;6;5;7;7;2;-5;1;5;0.20
140;6;5;7;7;4;-3;2;5;0.40
141;6;5;7;7;6;-1;2;5;0.40
142;5;3;8;7;2;-5;1;2;0.50
143;5;3;8;7;6;-1;1;2;0.50
144;5;4;4;8;2;-6;1;1;1.00
145;9;6;4;8;2;-6;1;1;1.00
146;5;8;5;8;2;-6;1;1;1.00
147;6;5;6;8;2;-6;1;4;0.25
148;6;5;6;8;5;-3;1;4;0.25
149;6;5;6;8;7;-1;1;4;0.25
150;6;5;6;8;9;1;1;4;0.25
151;6;5;2;9;2;-7;1;1;1.00
152;5;4;6;9;2;-7;1;3;0.33
153;5;4;6;9;5;-4;1;3;0.33
154;5;4;6;9;7;-2;1;3;0.33
155;5;5;4;1;3;2;1;1;1.00
156;8;5;4;2;3;1;1;1;1.00
157;5;8;4;2;3;1;1;1;1.00
158;5;4;5;2;3;1;1;1;1.00
159;4;5;5;2;3;1;1;1;1.00
160;7;7;6;2;3;1;1;1;1.00
161;6;4;7;2;3;1;1;1;1.00
162;6;5;7;2;3;1;1;1;1.00
163;4;4;8;2;3;1;1;1;1.00
164;4;6;9;2;3;1;1;1;1.00
165;5;5;2;3;3;0;1;1;1.00
166;5;5;4;3;3;0;1;1;1.00
167;4;6;4;3;3;0;1;3;0.33
168;4;6;4;3;5;2;2;3;0.67
169;8;7;4;3;3;0;1;1;1.00
170;6;8;4;3;3;0;1;2;0.50
171;6;8;4;3;8;5;1;2;0.50
172;6;5;5;3;3;0;1;3;0.33
173;6;5;5;3;8;5;2;3;0.67
174;7;5;5;3;3;0;2;3;0.67
175;7;5;5;3;5;2;1;3;0.33
176;3;6;5;3;3;0;1;2;0.50
177;3;6;5;3;5;2;1;2;0.50
178;6;5;6;3;3;0;1;2;0.50
179;6;5;6;3;6;3;1;2;0.50
180;7;6;6;3;3;0;1;3;0.33
181;7;6;6;3;6;3;1;3;0.33
182;7;6;6;3;7;4;1;3;0.33
183;5;8;6;3;3;0;1;1;1.00
184;6;9;6;3;3;0;1;2;0.50
185;6;9;6;3;7;4;1;2;0.50
186;6;3;7;3;3;0;1;2;0.50
187;6;3;7;3;4;1;1;2;0.50
188;6;5;7;3;3;0;1;1;1.00
189;4;6;8;3;3;0;1;4;0.25
190;4;6;8;3;4;1;1;4;0.25
191;4;6;8;3;5;2;1;4;0.25
192;4;6;8;3;6;3;1;4;0.25
193;6;6;8;3;3;0;1;3;0.33
194;6;6;8;3;6;3;1;3;0.33
195;6;6;8;3;7;4;1;3;0.33
196;5;6;9;3;3;0;1;1;1.00
197;4;6;3;4;3;-1;1;1;1.00
198;5;7;3;4;3;-1;1;4;0.25
199;5;7;3;4;4;0;1;4;0.25
200;5;7;3;4;6;2;2;4;0.50
201;8;5;4;4;3;-1;1;2;0.50
202;8;5;4;4;7;3;1;2;0.50
203;4;2;5;4;3;-1;1;1;1.00
204;7;4;5;4;3;-1;1;5;0.20
205;7;4;5;4;4;0;1;5;0.20
206;7;4;5;4;5;1;1;5;0.20
207;7;4;5;4;6;2;2;5;0.40
208;8;5;5;4;3;-1;1;1;1.00
209;7;7;5;4;3;-1;1;2;0.50
210;7;7;5;4;6;2;1;2;0.50
211;3;4;6;4;3;-1;1;4;0.25
212;3;4;6;4;5;1;1;4;0.25
213;3;4;6;4;6;2;2;4;0.50
214;5;4;6;4;3;-1;1;3;0.33
215;5;4;6;4;6;2;2;3;0.67
216;7;4;6;4;3;-1;1;3;0.33
217;7;4;6;4;5;1;1;3;0.33
218;7;4;6;4;8;4;1;3;0.33
219;4;5;6;4;3;-1;2;3;0.67
220;4;5;6;4;7;3;1;3;0.33
221;6;5;6;4;3;-1;2;4;0.50
222;6;5;6;4;7;3;1;4;0.25
223;6;5;6;4;9;5;1;4;0.25
224;8;5;6;4;3;-1;1;2;0.50
225;8;5;6;4;5;1;1;2;0.50
226;7;2;7;4;3;-1;1;2;0.50
227;7;2;7;4;6;2;1;2;0.50
228;3;3;7;4;3;-1;1;3;0.33
229;3;3;7;4;6;2;2;3;0.67
230;5;3;7;4;3;-1;1;1;1.00
231;7;3;7;4;3;-1;1;1;1.00
232;3;4;7;4;3;-1;1;2;0.50
233;3;4;7;4;6;2;1;2;0.50
234;8;6;7;4;3;-1;1;1;1.00
235;6;7;7;4;3;-1;1;2;0.50
236;6;7;7;4;4;0;1;2;0.50
237;7;7;7;4;3;-1;1;1;1.00
238;6;8;7;4;3;-1;1;2;0.50
239;6;8;7;4;5;1;1;2;0.50
240;3;6;8;4;3;-1;1;2;0.50
241;3;6;8;4;6;2;1;2;0.50
242;6;6;8;4;3;-1;1;2;0.50
243;6;6;8;4;6;2;1;2;0.50
244;5;7;8;4;3;-1;1;3;0.33
245;5;7;8;4;4;0;1;3;0.33
246;5;7;8;4;6;2;1;3;0.33
247;6;7;8;4;3;-1;1;1;1.00
248;5;4;2;5;3;-2;1;1;1.00
249;4;7;2;5;3;-2;1;1;1.00
250;8;3;3;5;3;-2;1;1;1.00
251;5;4;3;5;3;-2;1;2;0.50
252;5;4;3;5;5;0;1;2;0.50
253;8;4;3;5;3;-2;1;2;0.50
254;8;4;3;5;6;1;1;2;0.50
255;6;6;4;5;3;-2;1;3;0.33
256;6;6;4;5;4;-1;2;3;0.67
257;7;6;4;5;3;-2;1;4;0.25
258;7;6;4;5;7;2;2;4;0.50
259;7;6;4;5;9;4;1;4;0.25
260;6;7;4;5;3;-2;1;6;0.17
261;6;7;4;5;4;-1;2;6;0.33
262;6;7;4;5;5;0;1;6;0.17
263;6;7;4;5;7;2;2;6;0.33
264;9;7;4;5;3;-2;1;1;1.00
265;5;5;5;5;3;-2;2;4;0.50
266;5;5;5;5;4;-1;1;4;0.25
267;5;5;5;5;8;3;1;4;0.25
268;5;6;5;5;3;-2;1;7;0.14
269;5;6;5;5;6;1;3;7;0.43
270;5;6;5;5;7;2;1;7;0.14
271;5;6;5;5;8;3;1;7;0.14
272;5;6;5;5;9;4;1;7;0.14
273;6;7;5;5;3;-2;2;7;0.29
274;6;7;5;5;4;-1;2;7;0.29
275;6;7;5;5;5;0;2;7;0.29
276;6;7;5;5;6;1;1;7;0.14
277;7;7;5;5;3;-2;1;2;0.50
278;7;7;5;5;7;2;1;2;0.50
279;5;9;5;5;3;-2;1;4;0.25
280;5;9;5;5;4;-1;2;4;0.50
281;5;9;5;5;5;0;1;4;0.25
282;6;9;5;5;3;-2;1;2;0.50
283;6;9;5;5;5;0;1;2;0.50
284;4;3;6;5;3;-2;1;1;1.00
285;6;3;6;5;3;-2;1;4;0.25
286;6;3;6;5;6;1;3;4;0.75
287;5;6;6;5;3;-2;1;4;0.25
288;5;6;6;5;5;0;2;4;0.50
289;5;6;6;5;7;2;1;4;0.25
290;4;8;6;5;3;-2;1;3;0.33
