;Seq_4;Seq_3;Seq_2;Seq_1;Seq_0;diff;fact_count;pre_count;prob
0;4;3;4;2;1;-1;1;1;1.00
1;6;4;3;4;1;-3;1;2;0.50
2;6;4;3;4;6;2;1;2;0.50
3;5;5;3;4;1;-3;1;2;0.50
4;5;5;3;4;7;3;1;2;0.50
5;6;4;5;4;1;-3;1;7;0.14
6;6;4;5;4;3;-1;1;7;0.14
7;6;4;5;4;4;0;1;7;0.14
8;6;4;5;4;5;1;1;7;0.14
9;6;4;5;4;6;2;1;7;0.14
10;6;4;5;4;7;3;1;7;0.14
11;6;4;5;4;10;6;1;7;0.14
12;6;5;5;4;1;-3;1;8;0.12
13;6;5;5;4;4;0;2;8;0.25
14;6;5;5;4;5;1;1;8;0.12
15;6;5;5;4;6;2;1;8;0.12
16;6;5;5;4;8;4;2;8;0.25
17;6;5;5;4;9;5;1;8;0.12
18;7;4;6;4;1;-3;1;6;0.17
19;7;4;6;4;3;-1;1;6;0.17
20;7;4;6;4;6;2;3;6;0.50
21;7;4;6;4;8;4;1;6;0.17
22;4;6;6;4;1;-3;1;7;0.14
23;4;6;6;4;5;1;2;7;0.29
24;4;6;6;4;7;3;3;7;0.43
25;4;6;6;4;8;4;1;7;0.14
26;1;8;6;4;1;-3;1;1;1.00
27;5;5;4;5;1;-4;1;4;0.25
28;5;5;4;5;5;0;1;4;0.25
29;5;5;4;5;6;1;1;4;0.25
30;5;5;4;5;9;4;1;4;0.25
31;6;6;6;6;1;-5;1;10;0.10
32;6;6;6;6;3;-3;1;10;0.10
33;6;6;6;6;4;-2;1;10;0.10
34;6;6;6;6;5;-1;1;10;0.10
35;6;6;6;6;6;0;3;10;0.30
36;6;6;6;6;7;1;1;10;0.10
37;6;6;6;6;8;2;2;10;0.20
38;4;4;7;6;1;-5;1;4;0.25
39;4;4;7;6;5;-1;2;4;0.50
40;4;4;7;6;8;2;1;4;0.25
41;6;7;6;8;1;-7;1;2;0.50
42;6;7;6;8;4;-4;1;2;0.50
43;5;6;2;2;2;0;1;1;1.00
44;5;5;6;2;2;0;1;4;0.25
45;5;5;6;2;4;2;1;4;0.25
46;5;5;6;2;7;5;1;4;0.25
47;5;5;6;2;8;6;1;4;0.25
48;4;4;8;2;2;0;1;1;1.00
49;2;4;4;3;2;-1;1;1;1.00
50;6;5;5;3;2;-1;1;3;0.33
51;6;5;5;3;4;1;2;3;0.67
52;8;7;6;3;2;-1;1;2;0.50
53;8;7;6;3;4;1;1;2;0.50
54;8;8;8;3;2;-1;1;1;1.00
55;5;4;3;4;2;-2;1;3;0.33
56;5;4;3;4;6;2;2;3;0.67
57;6;3;4;4;2;-2;1;2;0.50
58;6;3;4;4;4;0;1;2;0.50
59;4;7;4;4;2;-2;1;2;0.50
60;4;7;4;4;7;3;1;2;0.50
61;6;3;5;4;2;-2;1;4;0.25
62;6;3;5;4;5;1;1;4;0.25
63;6;3;5;4;6;2;1;4;0.25
64;6;3;5;4;7;3;1;4;0.25
65;8;4;5;4;2;-2;1;4;0.25
66;8;4;5;4;3;-1;1;4;0.25
67;8;4;5;4;4;0;1;4;0.25
68;8;4;5;4;8;4;1;4;0.25
69;3;4;6;4;2;-2;1;1;1.00
70;6;5;6;4;2;-2;2;8;0.25
71;6;5;6;4;4;0;1;8;0.12
72;6;5;6;4;5;1;4;8;0.50
73;6;5;6;4;6;2;1;8;0.12
74;5;3;7;4;2;-2;1;2;0.50
75;5;3;7;4;8;4;1;2;0.50
76;6;5;7;4;2;-2;1;3;0.33
77;6;5;7;4;4;0;1;3;0.33
78;6;5;7;4;5;1;1;3;0.33
79;9;5;7;4;2;-2;1;1;1.00
80;3;6;7;4;2;-2;1;1;1.00
81;5;2;8;4;2;-2;1;1;1.00
82;5;4;5;5;2;-3;1;5;0.20
83;5;4;5;5;4;-1;1;5;0.20
84;5;4;5;5;8;3;3;5;0.60
85;7;5;5;5;2;-3;1;3;0.33
86;7;5;5;5;5;0;1;3;0.33
87;7;5;5;5;6;1;1;3;0.33
88;7;5;6;5;2;-3;1;8;0.12
89;7;5;6;5;4;-1;1;8;0.12
90;7;5;6;5;5;0;1;8;0.12
91;7;5;6;5;6;1;1;8;0.12
92;7;5;6;5;7;2;4;8;0.50
93;7;6;6;5;2;-3;1;10;0.10
94;7;6;6;5;3;-2;2;10;0.20
95;7;6;6;5;5;0;3;10;0.30
96;7;6;6;5;6;1;2;10;0.20
97;7;6;6;5;7;2;1;10;0.10
98;7;6;6;5;8;3;1;10;0.10
99;4;7;6;5;2;-3;1;6;0.17
100;4;7;6;5;5;0;1;6;0.17
101;4;7;6;5;6;1;3;6;0.50
102;4;7;6;5;10;5;1;6;0.17
103;5;7;6;5;2;-3;1;5;0.20
104;5;7;6;5;6;1;2;5;0.40
105;5;7;6;5;7;2;1;5;0.20
106;5;7;6;5;8;3;1;5;0.20
107;5;5;7;5;2;-3;1;3;0.33
108;5;5;7;5;5;0;1;3;0.33
109;5;5;7;5;6;1;1;3;0.33
110;6;5;7;5;2;-3;1;9;0.11
111;6;5;7;5;4;-1;2;9;0.22
112;6;5;7;5;5;0;1;9;0.11
113;6;5;7;5;7;2;3;9;0.33
114;6;5;7;5;8;3;2;9;0.22
115;9;5;7;5;2;-3;1;1;1.00
116;2;7;7;5;2;-3;1;1;1.00
117;7;4;8;5;2;-3;1;4;0.25
118;7;4;8;5;5;0;1;4;0.25
119;7;4;8;5;7;2;1;4;0.25
120;7;4;8;5;8;3;1;4;0.25
121;7;3;4;6;2;-4;1;3;0.33
122;7;3;4;6;6;0;2;3;0.67
123;3;8;4;6;2;-4;1;1;1.00
124;4;4;5;6;2;-4;1;3;0.33
