;Seq_4;Seq_3;Seq_2;Seq_1;Seq_0;diff;fact_count;pre_count;prob
0;3;6;4;2;1;-1;1;2;0.50
1;3;6;4;2;5;3;1;2;0.50
2;8;8;4;4;1;-3;1;2;0.50
3;8;8;4;4;6;2;1;2;0.50
4;5;4;5;4;1;-3;1;7;0.14
5;5;4;5;4;2;-2;1;7;0.14
6;5;4;5;4;3;-1;1;7;0.14
7;5;4;5;4;4;0;1;7;0.14
8;5;4;5;4;5;1;1;7;0.14
9;5;4;5;4;6;2;1;7;0.14
10;5;4;5;4;8;4;1;7;0.14
11;8;5;5;4;1;-3;1;1;1.00
12;5;7;5;4;1;-3;1;10;0.10
13;5;7;5;4;4;0;1;10;0.10
14;5;7;5;4;5;1;2;10;0.20
15;5;7;5;4;6;2;2;10;0.20
16;5;7;5;4;7;3;4;10;0.40
17;4;5;7;4;1;-3;1;2;0.50
18;4;5;7;4;6;2;1;2;0.50
19;5;6;2;5;1;-4;1;1;1.00
20;3;3;5;5;1;-4;1;1;1.00
21;4;6;6;5;1;-4;1;6;0.17
22;4;6;6;5;2;-3;1;6;0.17
23;4;6;6;5;4;-1;1;6;0.17
24;4;6;6;5;5;0;2;6;0.33
25;4;6;6;5;6;1;1;6;0.17
26;5;6;7;5;1;-4;1;9;0.11
27;5;6;7;5;4;-1;3;9;0.33
28;5;6;7;5;5;0;2;9;0.22
29;5;6;7;5;6;1;2;9;0.22
30;5;6;7;5;8;3;1;9;0.11
31;4;4;9;5;1;-4;1;2;0.50
32;4;4;9;5;6;1;1;2;0.50
33;7;3;3;6;1;-5;1;1;1.00
34;5;6;3;7;1;-6;1;2;0.50
35;5;6;3;7;8;1;1;2;0.50
36;7;7;3;7;1;-6;1;1;1.00
37;6;5;6;8;1;-7;1;3;0.33
38;6;5;6;8;6;-2;1;3;0.33
39;6;5;6;8;7;-1;1;3;0.33
40;5;5;5;9;1;-8;1;1;1.00
41;8;6;6;9;1;-8;1;1;1.00
42;8;4;4;1;2;1;1;1;1.00
43;5;3;2;2;2;0;1;1;1.00
44;7;5;3;2;2;0;1;1;1.00
45;5;9;5;2;2;0;1;1;1.00
46;4;5;4;3;2;-1;1;3;0.33
47;4;5;4;3;5;2;1;3;0.33
48;4;5;4;3;7;4;1;3;0.33
49;4;6;4;3;2;-1;1;3;0.33
50;4;6;4;3;3;0;1;3;0.33
51;4;6;4;3;4;1;1;3;0.33
52;8;5;5;3;2;-1;1;2;0.50
53;8;5;5;3;4;1;1;2;0.50
54;7;7;5;3;2;-1;1;1;1.00
55;5;5;6;3;2;-1;2;7;0.29
56;5;5;6;3;4;1;3;7;0.43
57;5;5;6;3;5;2;1;7;0.14
58;5;5;6;3;7;4;1;7;0.14
59;5;6;6;3;2;-1;1;2;0.50
60;5;6;6;3;9;6;1;2;0.50
61;5;6;7;3;2;-1;1;1;1.00
62;6;7;7;3;2;-1;1;1;1.00
63;5;6;3;4;2;-2;1;5;0.20
64;5;6;3;4;3;-1;2;5;0.40
65;5;6;3;4;7;3;1;5;0.20
66;5;6;3;4;10;6;1;5;0.20
67;3;4;5;4;2;-2;1;2;0.50
68;3;4;5;4;8;4;1;2;0.50
69;5;6;5;4;2;-2;1;5;0.20
70;5;6;5;4;4;0;1;5;0.20
71;5;6;5;4;5;1;2;5;0.40
72;5;6;5;4;6;2;1;5;0.20
